,【DATA 3】
페리,어떻게 갑자기 나갔어요!
페리,"당신이 갑자기 나가서, 그 모프들이 모두 혼란스러워졌고, 경기도 엉망이 되었어요……"
??,"사브리나는 이번의 앵커 포인트 필드였습니다, 그녀가 미리 제거되었으니, 이번 완전 탐색의 계산 순서를 더 이상 실현할 수 없습니다, 의미 없는 계산은 즉시 중단되어야 합니다."
페리,하지만...
??,"우리는 그렇게 많은 시간이 없어요, 여기서 가정놀이를 하는 것은 더더욱 의미가 없습니다."
나레이션,"（가상 공간은 종료 코드를 계산해내기 위해 구축된 것이지, 사람이 오랫동안 잠에서 깨지 못하게 하는 아름다운 꿈을 만들기 위한 것이 아닙니다.）"
나레이션,"（이 점은, 두 사람 모두가 잘 알고 있습니다.）"
페리,저는 여전히 가상과 현실을 구분할 수 있어요……
페리,"하지만…… 바로 이 번번이 반복되는 '가정놀이'가 계속해서 저에게 그 아름다운 기억들을 상기시켜주어, 제가 계속 견뎌낼 동기를 부여합니다."
페리,"하지만, 마지막으로 프로세스를 정리할 때, 스프링필드가 사라진 것 같은데, 계산에 영향을 미칠까요?"
??,저는 확신이 없어요.
??,"시스템이 이상 데이터를 미리 회수했을 가능성이 있습니다.|현재로서는, 종료 코드 계산 프로그램에 영향이 없는 것 같습니다."
페리,휴…… 그럼 다행이에요.|우리는 계산 완료에 점점 더 가까워지고 있군요.
페리,"당신의 도움 덕분에, 아마 다음 라운드에는 올바른 종료 코드를 계산해내어 덮어쓰기 프로그램에서 벗어날 수 있을 겁니다."
??,상황이 그렇게 낙관적이지 않아요.
페리,"다음 번에 안 되더라도, 다다음 번에는 될 수도 있잖아요!"
??,"덮어쓰기 프로그램에는 반드시 보호 메커니즘이 존재하여, 우리는 이 메커니즘이 언제 작동할지 확인할 수 없습니다."
??,"한 번 작동하면, 저는 즉시 이 환경을 벗어날 겁니다, 당신은 시간을 아껴야 합니다."
페리,으아아악!!
나레이션,（덮어쓰기 프로그램이 가져온 고통과 타는 듯한 느낌이 계속해서 페리를 괴롭히고 있습니다.）
나레이션,"（잊고 싶지 않아서, 페리는 필사적으로 한 조각씩 마음의 기록을 호출하고 있습니다.）"
나레이션,"（적어도 자신이 무엇을 하고 있는지, 자신이 어디에 있는지 잊지 않아야만 나갈 기회를 가질 수 있습니다.）"
나레이션,"（페리는 이렇게 자신을 격려하지만, 진실과 거짓이 섞인 기록들이 마음의 점진적인 붕괴로 인해 서서히 혼합되기 시작합니다——）"
