G36K-KSK,"이제 괜찮아요, 침입자는 전부 사라졌어요."
나레이션,(G36-KSK는 웅크리고 있는 소녀를 부드럽게 어루만졌다.)
나레이션,(소녀의 어깨는 아직도 떨리고 있다. 확실히 겁이 많은 모양이다.)
나레이션,（그런데 그녀의 머리 위에는 커다랗게 ‘HK416’이 뜨고 있다.）
미치티,"…벡터, 내가 잘못 본 거 아니지?|저 이름이 정말 HK416이지, ‘네가 꿈꾸는 중이야’나 ‘네가 눈이 멀었어’가 아니라?"
벡터,네가 잘못 본 거 아냐.
HK416,으… 와… 으와아아!!
나레이션,"(HK416이 고개를 들고, 큰 소리로 울기 시작했다.)"
나레이션,"(눈에서 굵은 눈물이 흘러내린다. 평소의 오만하고 차가운 그 표정이, 지금은 왠지 애처로워 보인다.)"
미치티,가짜라는 건 알지만… 그래도 여전히 충격적이네.
벡터,"곧 연구소에 도착할 텐데, 새 NPC를 만날 줄이야."
나레이션,"（두 사람이 HK416 곁에 다가가자, HK416이 갑자기 일어나 미치티를 붙잡았다.）"
미치티,우와--!
HK416,저 깜빡할 뻔했어요… 제 언니를… 언니를 좀 구해주세요!|부탁드려요!
미치티,뭐...언니?
미치티,너무 아파서 팔 부러질 것 같아——
HK416,여기예요! 저를 따라오세요!
나레이션,(HK416은 미치티를 놓아주고 그녀가 왔던 방향으로 달려갔다.)
미치티,"윽— 겨우 성격이 바뀌었는데, 힘은 여전히 괴물 수준이네……"
벡터,"빨리, 뒤따라가자."
벡터,이 도시에서 이렇게 멀쩡하게 남은 주택이 있다니.
미치티,게다가… 소파까지 남아 있네!
나레이션,(미치티는 자석에 못이 닿은 것처럼 곧바로 입구 옆 소파에 끌려들어가 무심코 쓰러졌다.)
나레이션,(두 사람의 뒤를 따라오던 G36K-KSK는 방에 들어간 뒤 조용히 구석에 서 있었다.)
미치티,정말 푹신하고… 편안해…|내 빈백 소파만큼은 아니지만… 쉴 수 있는 구역에서 쓰던 그 소파랑 비교해볼 만하네……
미치티,"벡터, 이리 와 봐. 이 소중한 포근함을 좀 느껴봐~"
벡터,"됐어, 일어나. 우리 할 일이 남았어."
미치티,"스토리 진행이라면… 너 혼자 해도 되잖아…|나 너무 졸려, 먼저 좀……Zzzzzzzz……"
벡터,레벨 2 플랫폼 안에서도 수면이 가능하다니……
나레이션,"（벡터는 어쩔 수 없다는 듯 고개를 저으며, 방 안 침대 옆에 서 있는 HK416 쪽으로 걸어간다.）"
나레이션,"（하지만 이곳의 고요한 분위기 덕분에 본인도 한결 마음이 놓이는 건 사실이라, 미치티를 깨우는 건 그만두기로 했다.）"
HK416,언니… 언니!|괜찮아? 놀라게 하지 말아 줘… 흐으.
나레이션,(벡터가 다가오자 HK416은 정지 상태에서 재개했다. 그녀는 울면서 침대 위의 사람의 손을 잡고 있었다. 손의 주인은──)
벡터,...벨카? !
나레이션,"(눈을 감고 창백한 얼굴로 침대에 누워 있는 사람은 벨카인데, 머리 위의 이름은 'G28'이다.)"
나레이션,(HK416의 목소리를 듣고 그녀는 힘겹게 눈을 떴다.)
HK416,"언니가 크게 다쳐서 연구소에서 약을 좀 구해오려고 했는데, 침입자들을 만날 줄이야."
HK416,저를 구해주신 건 바로 이분들이에요!
G28,콜록콜록… 너……
HK416,"언니, 일단 말하지 말고 쉬어!"
HK416,실례합니다만 부상에 대비한 약이 있나요?
나레이션,"(빛나는 녹색 눈이 벡터를 향했고, 벡터는 문득 미치티의 마음을 이해했다.)"
나레이션,（정말—— 대단한 충격이다.）
나레이션,(그녀의 시선 아래 벡터는 시계를 클릭하고 HK416에게 약을 주었다.)
HK416,"다행이야! 언니, 이분들이 약이 있으니 내가 바로 발라줄게."
나레이션,(말하면서 그녀는 G28을 침대에서 일으켜 세우려고 했다. 상처에 닿았는지는 모르겠지만 G28은 심하게 기침을 했다.)
G28,콜록콜록콜록콜록——!
HK416,"언니! 언니, 괜찮아요?"
미치티,Zzz...!
미치티,너무... 시끄러워... 무슨 일이야...
나레이션,(미치티는 눈을 비비고 소파에서 일어나 주위를 둘러보았다.)
미치티,어...그건 - 벨카?
나레이션,(미치티는 다시 눈을 비볐다.)
미치티,클루카이 - 벨카를 안고 있다고요?
벡터,다 NPC인데...
미치티,"알겠는데, 근데, 클루카이가 벨카를 안고 운다고?!"
미치티,"이건 안 돼. 이런 세계 명화급 장면은, 진짜든 가짜든 반드시 찍어둬야 해——|단말기, 단말기는 어딨더라——?"
나레이션,"（미치티가 온몸을 뒤져보다가, 자신이 레벨 2 플랫폼 안에 있다는 걸 깨달았다.）"
나레이션,（그래서 그녀는 손목시계 장치를 켰다.）
미치티,오오… 스크린샷이랑 녹화 기능이 있네!
나레이션,"(HK416이 부드럽게 G28에게 약을 바르자, G28이 벡터에게 시선을 돌렸다.)"
G28,"어쨌든, 먼저 고마워요…|혹시 당신들은 누구인지 물어봐도 될까요?"
나레이션,A. 우리는 수호자입니다.
나레이션,(벡터는 유일한 선택지를 읽어준다.)
벡터,…우리는 수호자예요.
G28,수호자라니——! 콜록콜록콜록콜록——!
HK416,언니! 너무 흥분하지 마!
G28,괜찮아…… 나 괜찮아.
G28,그럼 제 소개를 좀——
G28,저와 HK416은 국립연구소 3번 실험실 연구원이에요. 붕괴 결정체를 결정 에너지로 전환하는 프로젝트를 제가 주도했는데… 우리… 결정 파이프 폭발을 일으킨 장본인이나 다름없죠……
HK416,언니.....
G28,"결정 에너지가 결코 완전무결하지 않다는 걸, 난 늘 알고 있었어요. 결정 파이프도 안전성이 불안정했지만, 우리는 강압에 끌려 실험을 멈추지 않았고, 결국 한 걸음 한 걸음 나락으로 몰고 갔죠……"
